age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date
53,25585.08,615,5509.82,13.93,3,2.9,6827.4,0,,Male,Full-Time,High School,Home,West,Married,2020,24,2/3/2020
31,,638,7297.41,35.97,5,2.6,,0,9154.45,Female,Self-Employed,Master,Personal,West,Married,2011,12,4/1/2011
48,36172.2,665,13422.14,17.86,5,0.3,13065.24,5,13376.68,Female,Full-Time,Master,Education,West,Divorced,2017,60,8/6/2017
40,97325.28,830,20754.75,42.33,1,8.6,148440.54,2,36808.11,Female,Full-Time,High School,Car,North,Single,2017,36,6/11/2017
57,29780.86,755,10208.4,14.52,,2.9,7799.82,6,,Female,Full-Time,High School,Education,West,Married,2024,36,22/1/2024
41,66694.18,513,9869.05,21.29,3,4.2,12711.92,5,23955.04,Female,Unemployed,Bachelor,Car,South,Divorced,2016,60,9/1/2016
58,26772.58,654,17746.89,43.18,6,3.4,3755.05,7,5255.92,Male,Retired,Bachelor,Car,Central,Married,2021,60,5/9/2021
32,,615,11713.46,34.49,6,0.7,4159.32,7,7268.1,Male,Full-Time,Master,Personal,North,Single,2014,60,7/4/2014
26,59412.29,711,78924.06,13.16,4,4,5408.07,4,11197.2,Female,Retired,PhD,Home,West,Divorced,2022,48,15/2/2022
68,72847.82,668,4781.21,10.96,0,,1033.11,0,15289.21,Male,Full-Time,High School,Business,North,Married,2021,36,3/6/2021
34,37952.73,734,6901.7,28.88,3,6.3,1575.19,3,8731.84,Female,Full-Time,PhD,Home,North,Married,2021,48,3/11/2021
56,45096.51,647,15622.57,47.79,1,2.5,2840.71,4,8973.78,Female,Part-Time,Master,Medical,South,Divorced,2023,48,12/10/2023
58,108051.57,624,16371,61.91,5,14.6,15498.4,3,26750.12,Female,Self-Employed,Bachelor,Car,Central,Single,2016,60,27/10/2016
25,,650,6056.67,29.69,4,1.6,7470.71,3,13075.16,Female,Unemployed,High School,Car,West,,2017,60,28/9/2017
65,54463.08,637,11003.62,13.05,5,11.9,4607.26,3,11417.58,Female,Retired,Master,Business,East,Widowed,2018,36,10/7/2018
40,74198.83,565,18394.66,28.04,0,6.2,832.75,5,28418.51,Female,Full-Time,High School,Home,Central,Single,2024,36,10/2/2024
41,46276.59,520,16726.58,8.9,5,0,21542.92,5,9912.47,Female,Full-Time,PhD,Education,Central,Married,2018,36,1/11/2018
61,25922.05,706,13014.25,28.05,,0.2,13227.09,1,9156.65,Male,Retired,Master,Personal,West,Married,2024,60,17/5/2024
44,46161.35,610,10036.74,34.31,0,3.7,2256.74,8,11487.78,Female,Full-Time,High School,Personal,South,Married,2018,36,25/10/2018
18,15009,652,4542.71,48.76,6,3.9,4773.29,9,3730.06,Female,Full-Time,Bachelor,Personal,West,Widowed,2017,60,7/2/2017
54,80813.99,480,9131.9,63.26,0,32.8,1661.76,3,13941.37,Male,Unemployed,,Personal,North,Married,2021,60,6/5/2021
31,105950.95,609,2797.13,15.84,1,1.9,770.65,5,28529.12,Female,Self-Employed,PhD,Personal,East,Single,2014,36,15/6/2014
22,29572.21,622,19208.27,36.28,3,0.1,4024.92,7,10649.71,Female,Full-Time,Master,Home,East,,2015,36,9/11/2015
56,22713.97,709,8989.43,41.56,2,3.6,9072.96,3,,Male,Full-Time,Master,Home,South,,2012,60,13/1/2012
44,20006.51,680,13319.83,49.56,2,4.5,29319.87,5,5904.97,Male,Full-Time,,Business,Central,Single,2013,48,6/10/2013
32,24353.6,508,16597.96,10.22,3,6.4,,7,5566.93,Male,Self-Employed,PhD,Personal,North,Single,2015,48,1/4/2015
68,36955.73,651,19307.72,27.17,1,1.1,1896.95,3,7210.59,Male,Full-Time,High School,Business,East,Single,2024,36,14/12/2024
56,70266.13,460,26341.34,15.92,3,5.3,647.01,5,13077.58,Male,Full-Time,Bachelor,Personal,Central,,2024,48,17/2/2024
62,115969.83,708,10595.93,27.47,3,0.8,1735.11,6,,Male,Part-Time,High School,Home,South,Divorced,2013,48,5/9/2013
32,83673.47,645,5926.11,3.45,3,2.3,2497.47,7,16929.78,Female,Full-Time,High School,Education,Central,Married,2010,60,9/3/2010
30,70675.02,508,4898.57,57.77,2,1.1,6338.03,2,24168.68,Male,Part-Time,PhD,Car,Central,Single,2016,24,27/3/2016
39,18810.47,655,13617.82,48.95,5,3.8,9869.3,9,,Male,Full-Time,Master,Home,West,Single,2018,36,24/3/2018
45,62878.62,607,5767.17,35.42,0,2.8,6933.64,1,15972.04,Female,Unemployed,PhD,Education,Central,Single,2021,60,25/12/2021
37,176131.14,435,16291.35,32.04,1,1.8,2132.67,3,,Male,Self-Employed,High School,Education,East,Divorced,2014,60,28/4/2014
47,58663.2,777,31737.06,39.16,4,9.7,1272.13,7,9916.38,Female,Full-Time,Bachelor,Home,South,Single,2024,48,16/2/2024
50,92617.29,760,8541.87,22.56,2,3.3,19266.26,4,15926.32,Male,Full-Time,Bachelor,Home,West,Married,2023,12,27/5/2023
74,56255.2,530,10855,50.28,0,23.7,,4,10169.16,Male,Full-Time,High School,Car,Central,,2020,12,12/7/2020
74,71731.81,808,13756.17,17.2,3,,518.32,6,12485.17,Female,Part-Time,Bachelor,Car,South,,2012,60,18/4/2012
58,40933.9,660,12735.52,29.92,2,6.5,2808.71,4,9693.42,Female,Self-Employed,Bachelor,Personal,North,Married,2021,60,16/6/2021
23,46758.17,542,22044.63,13.83,5,9.4,10091.62,4,14975.89,Female,Full-Time,Master,Car,South,Married,2017,36,18/4/2017
44,78527.52,647,4415.07,34.23,0,0.2,12680.61,7,30353.33,Male,Full-Time,Bachelor,Home,North,Married,2014,84,6/9/2014
26,70670,645,44422.43,26.61,0,4.7,4028.89,5,18021.36,Female,Self-Employed,Master,Home,South,Divorced,2019,36,9/3/2019
59,73706.97,601,3454.16,15.51,1,9.7,4834.68,5,18306.62,Male,Part-Time,High School,Medical,North,Married,2015,60,27/5/2015
49,49354.75,582,56754.66,37.98,6,4.7,1063.62,5,8776.95,Female,Full-Time,Bachelor,Personal,North,Single,2016,60,26/4/2016
29,21067.42,722,94195.5,15.57,1,4.5,9421.78,3,7938.89,Male,Full-Time,,Business,West,Married,2021,36,24/12/2021
56,26006.29,649,3583.04,64.94,4,3.8,,5,4416.29,Male,Self-Employed,Master,Business,Central,,2019,36,21/8/2019
19,22881.57,758,4538.82,61.81,4,4.5,19266.26,1,6361.01,Male,Full-Time,Bachelor,Car,South,Single,2020,36,9/10/2020
66,37308.16,759,60514.23,29.68,1,10.7,11957.04,9,10781.84,Male,Full-Time,Master,Medical,Central,Married,2013,48,25/1/2013
45,100921.85,503,29862.29,16.38,0,3.7,340.03,6,18772.36,Male,Part-Time,High School,Medical,West,Married,2013,48,13/11/2013
49,50067.93,665,105664.37,35.11,5,3.5,459.29,0,,Female,Full-Time,Master,Home,North,Married,2012,36,28/4/2012
50,55723.67,786,21873.66,49.97,6,0.5,42349.24,1,22224.66,Female,Full-Time,Bachelor,Personal,Central,Married,2023,60,24/9/2023
36,47110.7,688,15603.06,26.94,3,3.6,6499.67,1,12360.31,Male,Full-Time,Bachelor,Education,South,Single,2017,36,8/1/2017
61,101777.71,740,92442.61,15.07,5,0.4,2178.43,9,28730.55,Male,Full-Time,Bachelor,Personal,Central,Married,2019,48,3/1/2019
43,84120.18,774,14952.53,39.11,6,1.1,60310.92,8,28166.82,Male,Full-Time,High School,Car,North,Single,2021,48,27/3/2021
49,18730.91,703,10330.81,34.77,6,,5452.83,4,3843.67,Male,Retired,,Medical,East,,2023,60,14/11/2023
49,,572,20685.87,31.08,6,1.3,580.38,0,15995.55,Female,Full-Time,Bachelor,Education,Central,,2018,60,28/7/2018
72,63697.34,651,6686.77,17.39,4,7.7,27460.4,4,19351.27,Female,Full-Time,High School,Home,Central,,2019,60,3/3/2019
72,80176.28,775,6365.34,55.35,0,2.4,2614.93,6,22361.43,Female,Full-Time,Bachelor,Medical,South,Single,2012,60,25/12/2012
22,10618.69,682,3455.71,29.68,2,1.9,20075.03,3,,Female,Self-Employed,Bachelor,Home,West,Single,2018,24,16/11/2018
23,48329.74,773,5526.34,16.36,5,2.7,2157.03,2,8806.06,Female,Full-Time,,Home,Central,Single,2020,36,9/4/2020
39,103935.98,628,11077.11,18.35,6,2.4,1317.96,1,19511.48,Male,Full-Time,Bachelor,Business,Central,Married,2020,36,10/10/2020
65,34632.74,742,12993.92,60.56,2,1.5,2716.19,9,7353.18,Female,Full-Time,Bachelor,Car,South,Married,2011,24,28/9/2011
37,77901.87,580,20086.67,4.02,4,3.6,4890.64,3,13681.72,Female,Full-Time,Bachelor,Medical,North,Single,2014,36,3/4/2014
43,37239.36,693,5246.63,16.45,3,3,53075.65,3,6775.96,Female,Full-Time,Bachelor,Medical,Central,Single,2020,36,8/7/2020
37,78454.97,574,32177.63,50.36,2,3,,3,14673.01,Female,Full-Time,High School,Car,West,Single,2010,24,25/12/2010
49,44250.72,682,5882.78,51.08,0,6.8,319.11,1,9459.29,Male,Unemployed,Bachelor,Business,East,Married,2019,24,4/12/2019
24,62083.44,684,4859.82,21.04,5,,3379.53,1,14691.21,Male,Part-Time,High School,Business,West,Single,2013,84,9/9/2013
69,92385.36,563,34222.14,10.81,0,11.5,8571.27,2,,Female,Full-Time,Bachelor,Car,East,Single,2023,48,8/3/2023
58,17411.27,640,55713.29,11.85,2,1,9351,2,3223.37,Female,Self-Employed,High School,Car,North,,2014,36,17/12/2014
57,143189.33,574,28274.78,13.21,1,,8519.21,2,,Male,Full-Time,,Education,Central,,2018,60,15/8/2018
56,16890.21,536,43876.41,56.06,,1,,6,5367.64,Non-Binary,Full-Time,,Home,Central,Married,2018,24,23/11/2018
35,,654,19097.93,33.06,6,7.6,1328.67,5,17630.77,Male,Full-Time,Bachelor,Medical,South,,2021,36,4/1/2021
45,79869.1,729,110969.93,42.73,4,2.1,2333.22,0,23670.48,Male,Full-Time,Master,Home,Central,Married,2013,48,13/11/2013
47,23865.18,628,4666.73,28.46,2,5.2,4480.13,8,5472.19,Male,Part-Time,Bachelor,Car,East,Married,2020,36,2/10/2020
59,45834.03,666,41481.38,45.71,1,3.9,509.78,1,14987.34,Female,Full-Time,Bachelor,Personal,South,Divorced,2021,48,8/3/2021
52,13819.84,810,15807.27,7.48,6,10.1,1549.87,5,3471.07,Male,Self-Employed,High School,Home,East,Single,2010,48,5/11/2010
19,63423.77,638,21499.24,59.7,0,25.7,5962,7,20072.24,Female,Unemployed,High School,Personal,South,Divorced,2016,60,25/7/2016
18,90647.71,726,10737.22,46.76,,2.1,10645.49,5,15447.75,Female,Unemployed,High School,Car,East,,2014,60,7/8/2014
65,44613.23,794,5125.63,35.61,0,0.3,,1,7796.43,Male,Retired,Master,Car,Central,Divorced,2020,36,14/3/2020
52,29913.23,489,57610.49,9.69,1,,1684.17,8,6803.89,Female,Full-Time,Bachelor,Home,West,Married,2024,60,5/7/2024
36,89727.66,704,45485.52,7.85,5,5.3,3062.03,0,,Male,Full-Time,High School,Education,Central,Single,2016,60,27/11/2016
33,,698,46394.2,26.72,5,,,7,25080.58,Male,Retired,PhD,Car,South,,2020,36,10/11/2020
71,44286.74,804,9903.59,23.27,4,3.4,2606.17,9,8853.45,Male,Self-Employed,High School,Personal,North,Single,2015,60,18/6/2015
50,63811.09,584,11447.91,29.76,6,2.7,7104.35,5,23178.5,Male,Retired,High School,Medical,North,Married,2013,48,14/1/2013
53,45181.56,603,25973.05,11.41,6,2.4,2245,6,,Male,Full-Time,Master,Car,South,Single,2019,84,27/9/2019
52,18649.84,830,52262.32,26,4,13.3,3128.86,9,,Female,Self-Employed,PhD,Business,North,Single,2010,36,8/9/2010
42,120549.13,785,17083.97,21.97,4,0.1,3427.99,5,30672.43,Male,Self-Employed,,Home,South,,2016,24,22/1/2016
19,22262.45,783,33863.28,10.98,3,8.4,2160.71,2,8631.72,Male,Full-Time,Master,Education,North,Single,2012,12,22/3/2012
71,35475.42,752,22371.06,31.68,2,11.2,5359.56,0,8597.82,Female,Self-Employed,High School,Business,East,Single,2013,48,23/9/2013
52,46915.37,579,6031.18,26.31,4,1.2,5891.11,6,11847.18,Female,Part-Time,Bachelor,Car,South,Married,2017,48,6/12/2017
33,28569.62,773,39033.28,21.13,,0.1,2115.68,3,7316.62,Male,Full-Time,Bachelor,Car,Central,Married,2021,84,5/11/2021
31,29433.83,582,10411.37,23.2,4,11.4,20525.96,3,9728.24,Female,Full-Time,,Business,Central,Widowed,2022,84,26/2/2022
20,139561.49,620,17167.22,23.86,1,0.5,51187.57,6,45219.7,Female,Full-Time,Master,Business,North,Divorced,2013,36,4/5/2013
50,31565.5,614,35292.17,40.82,5,8.9,2671.41,5,5653.13,Male,Full-Time,,Car,North,Married,2024,24,1/8/2024
29,44761.78,715,21357.56,27.74,0,0.8,1091.96,5,8580.39,Male,Part-Time,Bachelor,Education,Central,Single,2012,84,5/4/2012
68,51988.47,792,9339.69,37.15,5,14.3,5483.93,8,11156.19,Male,Full-Time,,Business,Central,Married,2015,12,17/12/2015
63,64417.08,667,4611.33,12.68,1,7.8,36687.73,2,20391.71,Female,Full-Time,High School,Car,Central,Widowed,2017,36,28/4/2017
47,63314.07,634,7584.18,40.85,5,,1134.83,0,15379.02,Female,Full-Time,Bachelor,Business,East,,2022,36,26/8/2022
45,35569.43,573,29885.28,32.08,2,3,4648.43,0,9198.91,Female,Full-Time,Bachelor,Home,West,Married,2017,48,8/8/2017
64,70162.04,726,8166.47,38.39,1,27.8,2088.38,6,12379.97,Male,Part-Time,Master,Business,Central,Married,2016,84,12/4/2016
52,99830.75,657,6115.03,3.84,4,2.2,1259.14,9,17643.32,Male,Part-Time,Bachelor,Home,Central,Married,2016,36,7/11/2016
45,105219.91,684,1618.61,42.87,0,3.4,7749.09,4,,Female,Self-Employed,Bachelor,Home,South,Single,2019,24,16/7/2019
52,50549.11,553,20810.8,43.87,2,14.9,36782.14,7,9290.15,Female,Self-Employed,Master,Business,West,Single,2022,60,15/8/2022
41,76404.84,515,7647.72,40.37,1,7.2,51256.33,8,22055.56,Female,Full-Time,High School,Education,North,Single,2014,36,1/6/2014
52,48077.26,557,12058.11,23.76,5,2,1693.79,2,8720.97,Female,Full-Time,Master,Business,South,Single,2017,84,21/12/2017
69,28432.54,636,63598.61,8,1,5,14029.89,3,,Female,Self-Employed,High School,Education,South,Married,2017,36,7/2/2017
49,15529.79,601,14394.9,6.58,6,,5163.21,1,2978,Female,Part-Time,High School,Home,North,Married,2014,36,24/10/2014
20,15280.22,529,6301.96,21.49,0,2.3,3883.87,5,3965.02,Male,Full-Time,Bachelor,Car,East,Single,2013,60,6/5/2013
41,47456.79,522,23102.72,12.7,2,3.2,7329.03,0,,Male,Full-Time,PhD,Home,South,Single,2015,60,23/3/2015
64,89447.16,630,21879.92,17,6,4.7,2248.96,8,16300.13,Male,Self-Employed,High School,Home,Central,Married,2019,48,12/5/2019
39,201398.51,609,12183.97,52.56,2,,6971.91,6,44335.22,Male,Retired,,Car,West,Divorced,2015,12,23/3/2015
19,106481.21,635,8194.77,42.24,3,7.1,3075.87,6,18730.98,Male,Full-Time,High School,Personal,Central,Married,2014,60,21/5/2014
44,104719.18,629,2496.92,50.84,,0.2,594.78,0,22707.09,Female,Full-Time,Bachelor,Education,South,Married,2023,36,15/9/2023
19,35720.81,645,18815.3,10.03,5,2.4,11539.44,2,,Male,Self-Employed,PhD,Home,North,,2011,48,28/11/2011
50,90057.95,658,25344.87,31.02,2,1.6,2467.36,3,19758.54,Male,Part-Time,,Education,East,,2016,36,24/4/2016
59,35807.57,562,28120.88,50.24,6,1.7,953.73,3,,Male,Unemployed,High School,Home,West,,2023,36,2/1/2023
67,65263.14,673,7967.02,9.14,2,6,1736.69,6,16059.33,Male,Full-Time,Bachelor,Car,West,Divorced,2018,84,19/4/2018
30,67435.89,518,12078.43,40.07,3,,3378.68,2,,Female,Full-Time,,Business,North,Divorced,2022,84,23/5/2022
24,12749.88,766,22078.88,8.51,6,2.5,5184.26,1,3131.7,Female,Self-Employed,Master,Car,North,Single,2013,84,19/11/2013
29,110241.11,796,11065.67,42.62,6,6.9,2180.17,1,36742.97,Male,Full-Time,Bachelor,Home,North,Married,2018,36,4/3/2018
40,101315.3,552,45783.13,64.93,6,1.7,2635.44,0,23640.1,Male,Retired,,Home,East,Divorced,2013,24,17/8/2013
45,92486.44,711,1629.49,27.33,6,0.2,,0,,Male,Self-Employed,High School,Home,North,,2019,36,13/10/2019
19,54306.76,738,12939.94,12.85,5,0.5,,5,9664.27,Female,Full-Time,Master,Education,Central,Single,2016,60,23/4/2016
40,100561.9,654,4810.08,13.77,1,3.5,111562.22,5,28723.06,Male,Full-Time,Master,Medical,North,Single,2021,48,20/2/2021
39,53605,610,12211.05,31.21,5,16.5,7446.97,7,12581.45,Male,Full-Time,,Car,East,Married,2018,60,2/2/2018
66,25406.85,664,15665.87,44.07,6,1.4,18065.82,5,7831,Female,Full-Time,Master,Personal,East,,2022,36,2/7/2022
59,248279.92,650,5346.1,10.13,1,2.6,4604.55,1,58110.45,Male,Self-Employed,Bachelor,Home,East,Single,2019,36,9/5/2019
23,31562.3,591,21326.07,6.07,,3.3,7096.02,8,9465.68,Female,Self-Employed,PhD,Home,West,Single,2022,36,27/1/2022
22,81319.48,572,11768.29,31.1,3,6.3,4757.91,9,16212.08,Male,Self-Employed,Bachelor,Personal,South,Married,2012,48,23/2/2012
62,,534,38018.21,30.33,5,2.9,25031.16,2,10491.17,Female,Full-Time,Bachelor,Personal,West,Married,2013,36,3/8/2013
47,52131.94,622,24289.97,23.08,4,1.1,815.59,1,16598.42,Female,Part-Time,High School,Business,South,Divorced,2021,60,23/9/2021
36,93576.99,800,11804.95,59.31,0,0.1,610.21,0,21717.57,Female,Full-Time,Bachelor,Business,North,Single,2021,24,22/6/2021
34,54002.16,590,5970.28,69.72,1,3.3,4422.43,2,11624.78,Male,Part-Time,High School,Home,West,Married,2019,36,9/3/2019
45,40197.08,644,19862.99,39.24,0,8.7,837,7,9188.75,Male,Full-Time,High School,Medical,South,,2022,48,6/7/2022
72,106759.52,850,11740.65,31.04,5,0.2,,0,27548.17,Female,Unemployed,Bachelor,Education,West,Married,2014,48,28/2/2014
43,21727.77,663,12966.12,9.28,3,,1907.07,9,6800.16,Male,Full-Time,Master,Business,South,Single,2020,84,19/10/2020
64,131236.21,718,24388.39,20.38,3,4.8,6649.31,3,35899.38,Male,Retired,Master,Home,South,Single,2016,48,24/4/2016
42,27149.6,792,10205.6,19.01,0,5.1,24805.07,4,8023.55,Male,Full-Time,Master,Home,East,Single,2018,24,5/9/2018
57,37614.56,695,35752.01,38.5,5,3.9,64377.87,7,9184.84,Male,Retired,High School,Personal,Central,Married,2013,60,4/2/2013
62,51378.22,486,19909.75,15.17,3,1.8,1698.68,4,19477.46,Female,Retired,Master,Car,Central,Single,2012,60,10/11/2012
70,65013.35,636,8205.42,29.54,0,3.1,5839,9,11814.4,Female,Self-Employed,High School,Car,North,Single,2016,60,2/4/2016
33,45873.48,699,25082.62,43.78,5,0.1,15556.25,8,8028.69,Male,Part-Time,PhD,Home,Central,Widowed,2015,84,24/7/2015
39,39899.99,568,18961.02,57.14,3,0.7,28236.28,4,7720.68,Male,Self-Employed,Master,Personal,West,Married,2017,60,25/12/2017
72,18194.46,655,16463.04,22.66,6,3.8,13928.53,3,3593.63,Female,Full-Time,High School,Business,North,Married,2010,60,25/8/2010
20,64877.02,793,5894.11,13.61,4,2.9,4528.44,0,24200.93,Female,Self-Employed,,Home,South,,2019,36,28/2/2019
29,174193.83,609,26537.59,30.91,0,,2829.8,8,67099.23,Female,Full-Time,PhD,Education,Central,Widowed,2011,60,11/5/2011
45,45538.99,801,10928.46,39.02,2,0.1,3244.16,4,10185.88,Female,Part-Time,Bachelor,Business,Central,Single,2017,48,4/5/2017
22,21263.28,491,8729.65,20.99,5,0,697.26,2,3678.95,Male,Self-Employed,High School,Medical,South,Divorced,2013,48,16/5/2013
66,26045.68,481,17970.35,13.95,1,0,3177.5,8,5029.47,Male,Self-Employed,Bachelor,Business,West,Married,2022,12,19/1/2022
47,154924.92,526,4987.83,62.92,0,0.1,43664.24,4,41129.72,Female,Full-Time,Master,Car,South,Single,2012,48,17/8/2012
33,16468.59,457,32534.58,53.23,4,4.7,3070.02,2,3755.56,Male,Full-Time,Bachelor,Home,Central,Married,2014,24,20/8/2014
43,32239.86,645,5227.17,30.69,6,1.8,797.19,0,5480.74,Male,Full-Time,Bachelor,Home,East,Single,2012,36,12/6/2012
65,61670.97,581,23698.23,48.47,0,7.6,1047.06,5,14580.49,Female,Full-Time,High School,Personal,South,Married,2019,48,28/12/2019
38,82612.82,604,18445.43,29.66,2,0.8,34593.77,8,18039.08,Male,Part-Time,High School,Personal,South,,2014,36,10/6/2014
53,136523.37,650,17171.12,12.53,5,1.9,7122.15,1,45658.69,Male,Self-Employed,Bachelor,Home,West,Married,2019,36,26/8/2019
36,77654.65,660,3193.01,21.29,,3.8,3137.14,9,18807.37,Male,Retired,High School,Business,East,Single,2022,60,28/12/2022
49,36754.96,803,27039.03,46.88,,2.7,9411,4,7027.34,Male,Part-Time,High School,Medical,Central,Married,2015,60,27/5/2015
62,71563.68,719,5633.3,64.21,0,1.2,4090.26,0,25261.05,Male,Retired,Master,Car,Central,Single,2024,60,11/1/2024
33,,622,41302.66,40.8,1,0.5,10795.5,3,5997.17,Male,Part-Time,High School,Personal,North,Married,2024,36,15/10/2024
19,,441,24085.48,1.9,3,3.9,2762.43,1,9405.57,Male,Self-Employed,Bachelor,Education,East,Single,2019,36,20/1/2019
49,60658.25,595,14550.5,13.71,6,0.8,637.64,9,13560.04,Female,Retired,High School,Car,South,Married,2017,48,11/5/2017
50,53578.1,689,11902.84,7.39,3,2.3,1027.1,6,11477.92,Female,Part-Time,Bachelor,Personal,West,Married,2024,12,13/2/2024
50,40707.28,360,13503.15,14.33,0,0.1,924.75,3,9622.85,Male,Part-Time,PhD,Personal,North,Married,2017,48,27/4/2017
54,18516.07,517,8017.72,31.8,0,10.1,10559.27,2,3583.51,Female,Full-Time,Master,Personal,East,,2024,48,25/8/2024
29,79226.7,651,2394.09,57.91,4,1.2,5586.53,1,15693.8,Female,Self-Employed,,Medical,East,,2018,48,6/1/2018
50,82482.36,564,16860.33,38.26,4,,2528.3,3,27598.37,Female,Full-Time,Bachelor,Education,North,Married,2021,60,8/7/2021
29,55232.26,726,5280.45,60.72,4,3.7,3327.02,0,11025.73,Female,Unemployed,High School,Home,Central,Single,2018,84,9/4/2018
48,41473.57,741,92100.92,38.18,4,17.4,90342.62,8,9479.87,Male,Self-Employed,,Education,West,Single,2017,60,22/5/2017
19,76394.93,628,18230.37,15.88,5,7.7,2533.62,2,25853.02,Female,Retired,Master,Home,South,Married,2015,24,2/4/2015
67,137071.81,481,43285.04,24.83,,,26043.7,8,22923.84,Female,Full-Time,High School,Business,North,Married,2018,84,13/10/2018
25,62736.59,556,11881.71,51.04,4,2.1,,0,18841.17,Non-Binary,Full-Time,,Car,Central,Single,2018,36,17/1/2018
46,137086.48,612,6615.25,49.84,6,2.3,1321.62,4,40587.2,Female,Full-Time,Master,Education,North,Single,2017,36,7/4/2017
67,37276.48,674,19123.03,26.05,3,9.6,2359.86,1,10443.02,Female,Retired,High School,Car,East,Married,2020,60,2/10/2020
74,58825.13,597,3456.81,33.87,1,2.6,5851.49,3,11449.37,Female,Full-Time,,Medical,Central,Single,2021,36,20/11/2021
41,66470.79,692,53484.96,15.69,5,14.7,2315.69,0,12880.49,Female,Retired,High School,Education,East,,2022,84,28/5/2022
52,33473.9,581,44150.86,11.24,0,3,23803.23,4,10998.69,Female,Full-Time,Bachelor,Home,North,Married,2014,84,28/12/2014
29,138448.33,550,21842.47,22.72,1,4.1,10703.66,3,,Male,Full-Time,High School,Car,North,Married,2014,60,25/1/2014
30,64430.21,596,8117.94,11.41,3,3.2,3021.37,7,15852.82,Female,Retired,Master,Personal,Central,Married,2016,36,18/1/2016
40,37513.97,563,11998.94,19.47,4,1.5,1992.32,5,6275.25,Male,Full-Time,High School,Education,East,Single,2014,60,19/10/2014
58,24185.94,784,17767.38,51.79,4,3.4,9934.04,0,6331.37,Male,Retired,Master,Business,West,,2012,48,11/12/2012
34,61659.61,749,15583.32,4.36,0,4.1,,7,,Female,Retired,High School,Education,West,Married,2019,12,21/10/2019
37,22410.57,530,22332.6,6.9,5,1.4,8068.55,7,8185.55,Male,Self-Employed,PhD,Business,Central,Married,2010,36,12/4/2010
29,27599.72,746,18303.31,16.09,2,18.2,1445.77,1,5792.28,Female,Self-Employed,,Personal,North,,2016,60,9/4/2016
